1
13 31 481
352 384 175 384
384 384 207 384
416 384 239 384
448 384 271 384
480 384 303 384
512 384 335 384
544 384 367 384
576 384 399 384
608 384 431 384
640 384 463 384
672 384 495 384
704 384 527 384
736 384 559 384
768 384 591 384
800 384 623 384
832 384 655 384
864 384 687 384
896 384 719 384
928 384 751 384
960 384 783 384
0 416 -177 416
32 416 -145 416
64 416 -113 416
96 416 -81 416
128 416 -49 416
160 416 -17 416
192 416 15 416
224 416 47 416
256 416 79 416
288 416 111 416
320 416 143 416
352 416 175 416
384 416 207 416
416 416 239 416
448 416 271 416
480 416 303 416
512 416 335 416
544 416 367 416
576 416 399 416
608 416 431 416
640 416 463 416
672 416 495 416
704 416 527 416
736 416 559 416
768 416 591 416
800 416 623 416
832 416 655 416
864 416 687 416
896 416 719 416
928 416 751 416
960 416 783 416
0 448 -177 448
32 448 -145 448
64 448 -113 448
96 448 -81 448
128 448 -49 448
160 448 -17 448
192 448 15 448
224 448 47 448
256 448 79 448
288 448 111 448
320 448 143 448
352 448 175 448
384 448 207 448
416 448 239 448
448 448 271 448
480 448 303 448
512 448 335 448
544 448 367 448
576 448 399 448
608 448 431 448
640 448 463 448
672 448 495 448
704 448 527 448
736 448 559 448
768 448 591 448
800 448 623 448
832 448 655 448
864 448 687 448
896 448 719 448
928 448 751 448
960 448 783 448
481 278 304 278
424 96 247 96
672 156 495 156
672 240 495 240
614 160 437 160
928 258 751 258
160 416 -17 416
