1
13 31 284
640 192 640 192
672 192 672 192
704 192 704 192
736 192 736 192
768 192 768 192
800 192 800 192
832 192 832 192
864 192 864 192
896 192 896 192
928 192 928 192
960 192 960 192
0 224 0 224
32 224 32 224
64 224 64 224
96 224 96 224
128 224 128 224
160 224 160 224
192 224 192 224
224 224 224 224
256 224 256 224
288 224 288 224
320 224 320 224
352 224 352 224
384 224 384 224
416 224 416 224
448 224 448 224
480 224 480 224
512 224 512 224
544 224 544 224
576 224 576 224
608 224 608 224
640 224 640 224
672 224 672 224
704 224 704 224
736 224 736 224
768 224 768 224
800 224 800 224
832 224 832 224
864 224 864 224
896 224 896 224
928 224 928 224
960 224 960 224
0 256 0 256
32 256 32 256
64 256 64 256
96 256 96 256
128 256 128 256
160 256 160 256
192 256 192 256
224 256 224 256
256 256 256 256
288 256 288 256
320 256 320 256
352 256 352 256
384 256 384 256
416 256 416 256
448 256 448 256
480 256 480 256
512 256 512 256
544 256 544 256
576 256 576 256
608 256 608 256
640 256 640 256
672 256 672 256
704 256 704 256
736 256 736 256
768 256 768 256
800 256 800 256
832 256 832 256
864 256 864 256
896 256 896 256
928 256 928 256
960 256 960 256
0 288 0 288
32 288 32 288
64 288 64 288
96 288 96 288
128 288 128 288
160 288 160 288
192 288 192 288
224 288 224 288
256 288 256 288
288 288 288 288
320 288 320 288
352 288 352 288
384 288 384 288
416 288 416 288
448 288 448 288
480 288 480 288
512 288 512 288
544 288 544 288
576 288 576 288
608 288 608 288
640 288 640 288
672 288 672 288
704 288 704 288
736 288 736 288
768 288 768 288
800 288 800 288
832 288 832 288
864 288 864 288
896 288 896 288
928 288 928 288
960 288 960 288
0 320 0 320
32 320 32 320
64 320 64 320
96 320 96 320
128 320 128 320
160 320 160 320
192 320 192 320
224 320 224 320
256 320 256 320
288 320 288 320
320 320 320 320
352 320 352 320
384 320 384 320
416 320 416 320
448 320 448 320
480 320 480 320
512 320 512 320
544 320 544 320
576 320 576 320
608 320 608 320
640 320 640 320
672 320 672 320
704 320 704 320
736 320 736 320
768 320 768 320
800 320 800 320
832 320 832 320
864 320 864 320
896 320 896 320
928 320 928 320
960 320 960 320
0 352 0 352
32 352 32 352
64 352 64 352
96 352 96 352
128 352 128 352
160 352 160 352
192 352 192 352
224 352 224 352
256 352 256 352
288 352 288 352
320 352 320 352
352 352 352 352
384 352 384 352
416 352 416 352
448 352 448 352
480 352 480 352
512 352 512 352
544 352 544 352
576 352 576 352
608 352 608 352
640 352 640 352
672 352 672 352
704 352 704 352
736 352 736 352
768 352 768 352
800 352 800 352
832 352 832 352
864 352 864 352
896 352 896 352
928 352 928 352
960 352 960 352
0 384 0 384
32 384 32 384
64 384 64 384
96 384 96 384
128 384 128 384
160 384 160 384
192 384 192 384
224 384 224 384
256 384 256 384
288 384 288 384
320 384 320 384
352 384 352 384
384 384 384 384
416 384 416 384
448 384 448 384
480 384 480 384
512 384 512 384
544 384 544 384
576 384 576 384
608 384 608 384
640 384 640 384
672 384 672 384
704 384 704 384
736 384 736 384
768 384 768 384
800 384 800 384
832 384 832 384
864 384 864 384
896 384 896 384
928 384 928 384
960 384 960 384
0 416 0 416
32 416 32 416
64 416 64 416
96 416 96 416
128 416 128 416
160 416 160 416
192 416 192 416
224 416 224 416
256 416 256 416
288 416 288 416
320 416 320 416
352 416 352 416
384 416 384 416
416 416 416 416
448 416 448 416
480 416 480 416
512 416 512 416
544 416 544 416
576 416 576 416
608 416 608 416
640 416 640 416
672 416 672 416
704 416 704 416
736 416 736 416
768 416 768 416
800 416 800 416
832 416 832 416
864 416 864 416
896 416 896 416
928 416 928 416
960 416 960 416
0 448 0 448
32 448 32 448
64 448 64 448
96 448 96 448
128 448 128 448
160 448 160 448
192 448 192 448
224 448 224 448
256 448 256 448
288 448 288 448
320 448 320 448
352 448 352 448
384 448 384 448
416 448 416 448
448 448 448 448
480 448 480 448
512 448 512 448
544 448 544 448
576 448 576 448
608 448 608 448
640 448 640 448
672 448 672 448
704 448 704 448
736 448 736 448
768 448 768 448
800 448 800 448
832 448 832 448
864 448 864 448
896 448 896 448
928 448 928 448
960 448 960 448
284 162 284 162
384 96 384 96
116 96 116 96
32 124 32 124
818 224 818 224
32 224 32 224
672 188 672 188
352 320 352 320
